session,window_index,start_sec,expected_label,pc_label,prediction_matches,pc_prob_0,pc_prob_2,pc_prob_4,pc_prob_max,pc_prob_argmax
MMdata_1136.50s_0327_183428_2ml,108,540.0,2,2,True,0.0007901884964667261,0.9961208701133728,0.0030889844056218863,0.9961208701133728,2
MMdata_1136.50s_0327_183428_2ml,109,545.0,2,2,True,0.0007032169378362596,0.9963448643684387,0.0029518594965338707,0.9963448643684387,2
MMdata_1136.50s_0327_183428_2ml,110,550.0,2,2,True,0.0005668900557793677,0.9962413311004639,0.0031917730811983347,0.9962413311004639,2
MMdata_1136.50s_0327_183428_2ml,111,555.0,2,2,True,0.0008923104614950716,0.9745243191719055,0.02458331361413002,0.9745243191719055,2
MMdata_1136.50s_0327_183428_2ml,112,560.0,2,2,True,0.0007090328726917505,0.9970044493675232,0.0022864965721964836,0.9970044493675232,2
MMdata_1136.50s_0327_183428_2ml,113,565.0,2,2,True,0.0006576727610081434,0.9964041709899902,0.002938193967565894,0.9964041709899902,2
MMdata_1136.50s_0327_183428_2ml,114,570.0,2,2,True,0.0005690447287634015,0.995412290096283,0.004018688574433327,0.995412290096283,2
MMdata_1136.50s_0327_183428_2ml,115,575.0,2,2,True,0.0010305802570655942,0.9700912237167358,0.02887813001871109,0.9700912237167358,2
MMdata_1136.50s_0327_183428_2ml,116,580.0,2,2,True,0.0008265255601145327,0.9960408210754395,0.003132639219984412,0.9960408210754395,2
MMdata_1136.50s_0327_183428_2ml,117,585.0,2,2,True,0.0008775355527177453,0.9926031231880188,0.006519372574985027,0.9926031231880188,2
MMdata_1136.50s_0327_183428_2ml,118,590.0,2,2,True,0.0005648835212923586,0.9949742555618286,0.004460829775780439,0.9949742555618286,2
MMdata_1136.50s_0327_183428_2ml,119,595.0,2,2,True,0.0009501240565441549,0.9647262096405029,0.03432365879416466,0.9647262096405029,2
MMdata_1136.50s_0327_183428_2ml,120,600.0,2,2,True,0.0006403663428500295,0.9961035251617432,0.0032561018597334623,0.9961035251617432,2
MMdata_1136.50s_0327_183428_2ml,121,605.0,2,2,True,0.0006686190608888865,0.992462158203125,0.006869236472994089,0.992462158203125,2
MMdata_1136.50s_0327_183428_2ml,122,610.0,2,2,True,0.0005726798553951085,0.9953413009643555,0.00408612284809351,0.9953413009643555,2
MMdata_1136.50s_0327_183428_2ml,123,615.0,2,2,True,0.0009007024927996099,0.9796255230903625,0.019473686814308167,0.9796255230903625,2
MMdata_1136.50s_0327_183428_2ml,124,620.0,2,2,True,0.0006032615783624351,0.9959983825683594,0.003398320870473981,0.9959983825683594,2
MMdata_1136.50s_0327_183428_2ml,125,625.0,2,2,True,0.000644633371848613,0.9937915205955505,0.005563866812735796,0.9937915205955505,2
MMdata_1136.50s_0327_183428_2ml,126,630.0,2,2,True,0.0005678670131601393,0.9951949715614319,0.004237137734889984,0.9951949715614319,2
MMdata_1136.50s_0327_183428_2ml,127,635.0,2,2,True,0.0007970910519361496,0.9918347597122192,0.00736812362447381,0.9918347597122192,2
MMdata_1136.50s_0327_183428_2ml,128,640.0,2,2,True,0.0006356962840072811,0.9956034421920776,0.003760931547731161,0.9956034421920776,2
MMdata_1136.50s_0327_183428_2ml,129,645.0,2,2,True,0.0006357490201480687,0.9950495362281799,0.004314593970775604,0.9950495362281799,2
MMdata_1136.50s_0327_183428_2ml,130,650.0,2,2,True,0.0005783638916909695,0.9949930310249329,0.004428601358085871,0.9949930310249329,2
MMdata_1136.50s_0327_183428_2ml,131,655.0,2,2,True,0.0008151238434948027,0.9801357984542847,0.019049132242798805,0.9801357984542847,2
MMdata_1136.50s_0327_183428_2ml,132,660.0,2,2,True,0.0008091403287835419,0.9967114925384521,0.002479310380294919,0.9967114925384521,2
MMdata_1136.50s_0327_183428_2ml,133,665.0,2,2,True,0.0006221187068149447,0.994716227054596,0.004661702550947666,0.994716227054596,2
MMdata_1136.50s_0327_183428_2ml,134,670.0,2,2,True,0.0005754054873250425,0.9942196607589722,0.005204975605010986,0.9942196607589722,2
MMdata_1136.50s_0327_183428_2ml,135,675.0,2,2,True,0.0007691329810768366,0.9890326261520386,0.01019821222871542,0.9890326261520386,2
MMdata_1136.50s_0327_183428_2ml,136,680.0,2,2,True,0.000757649599108845,0.9959189295768738,0.0033234560396522284,0.9959189295768738,2
MMdata_1136.50s_0327_183428_2ml,137,685.0,2,2,True,0.0006355536170303822,0.9937068819999695,0.005657574161887169,0.9937068819999695,2
MMdata_1136.50s_0327_183428_2ml,138,690.0,2,2,True,0.0005857024807482958,0.9953833222389221,0.004031011369079351,0.9953833222389221,2
MMdata_1136.50s_0327_183428_2ml,139,695.0,2,2,True,0.000907702895347029,0.9827535152435303,0.016338737681508064,0.9827535152435303,2
MMdata_1136.50s_0327_183428_2ml,140,700.0,2,2,True,0.0014508039457723498,0.9958806037902832,0.002668520901352167,0.9958806037902832,2
MMdata_1136.50s_0327_183428_2ml,141,705.0,2,2,True,0.0006326503353193402,0.994539201259613,0.00482811126857996,0.994539201259613,2
MMdata_1136.50s_0327_183428_2ml,142,710.0,2,2,True,0.0005900224787183106,0.9946627616882324,0.004747218452394009,0.9946627616882324,2
MMdata_1136.50s_0327_183428_2ml,143,715.0,2,2,True,0.0011004132684320211,0.9310221076011658,0.067877396941185,0.9310221076011658,2
MMdata_1136.50s_0327_183428_2ml,144,720.0,2,2,True,0.0010308513883501291,0.996711015701294,0.002258138731122017,0.996711015701294,2
MMdata_1136.50s_0327_183428_2ml,145,725.0,2,2,True,0.0006516360444948077,0.9953966736793518,0.003951584920287132,0.9953966736793518,2
MMdata_1136.50s_0327_183428_2ml,146,730.0,2,2,True,0.0005787226837128401,0.9952353835105896,0.004185849335044622,0.9952353835105896,2
MMdata_1136.50s_0327_183428_2ml,147,735.0,2,2,True,0.000849866948556155,0.97505784034729,0.024092255160212517,0.97505784034729,2
MMdata_1136.50s_0327_183428_2ml,148,740.0,2,2,True,0.0033203919883817434,0.9937498569488525,0.0029297047294676304,0.9937498569488525,2
MMdata_1136.50s_0327_183428_2ml,149,745.0,2,2,True,0.0007125191623345017,0.9912062287330627,0.008081236854195595,0.9912062287330627,2
MMdata_1136.50s_0327_183428_2ml,150,750.0,2,2,True,0.0005846765707246959,0.9938657879829407,0.005549457389861345,0.9938657879829407,2
MMdata_1136.50s_0327_183428_2ml,151,755.0,2,2,True,0.0007666363962925971,0.9909746050834656,0.008258664980530739,0.9909746050834656,2
MMdata_1136.50s_0327_183428_2ml,152,760.0,2,2,True,0.0010388029040768743,0.9909960627555847,0.007965249009430408,0.9909960627555847,2
MMdata_1136.50s_0327_183428_2ml,153,765.0,2,2,True,0.0006193104782141745,0.9953433871269226,0.0040373713709414005,0.9953433871269226,2
MMdata_1136.50s_0327_183428_2ml,154,770.0,2,2,True,0.000567467010114342,0.9954661130905151,0.003966338466852903,0.9954661130905151,2
MMdata_1136.50s_0327_183428_2ml,155,775.0,2,2,True,0.0007819273159839213,0.9805326461791992,0.01868530362844467,0.9805326461791992,2
MMdata_1136.50s_0327_183428_2ml,156,780.0,2,2,True,0.001629158854484558,0.9960838556289673,0.0022869366221129894,0.9960838556289673,2
MMdata_1136.50s_0327_183428_2ml,157,785.0,2,2,True,0.0006322088302113116,0.9962194561958313,0.00314837833866477,0.9962194561958313,2
MMdata_1136.50s_0327_183428_2ml,158,790.0,2,2,True,0.0005784804816357791,0.994316041469574,0.005105515010654926,0.994316041469574,2
MMdata_1136.50s_0327_183428_2ml,159,795.0,2,2,True,0.0008122024592012167,0.9909109473228455,0.008276804350316525,0.9909109473228455,2
MMdata_1136.50s_0327_183428_2ml,160,800.0,2,2,True,0.0018460905412212014,0.9954645037651062,0.0026893410831689835,0.9954645037651062,2
MMdata_1136.50s_0327_183428_2ml,161,805.0,2,2,True,0.0006260687950998545,0.9957886338233948,0.003585257800295949,0.9957886338233948,2
MMdata_1136.50s_0327_183428_2ml,162,810.0,2,2,True,0.0006066365167498589,0.9959583878517151,0.0034350010100752115,0.9959583878517151,2
MMdata_1136.50s_0327_183428_2ml,163,815.0,2,2,True,0.000792952545452863,0.9784792065620422,0.02072788029909134,0.9784792065620422,2
MMdata_1136.50s_0327_183428_2ml,164,820.0,2,2,True,0.0060213906690478325,0.9912018775939941,0.0027767925057560205,0.9912018775939941,2
MMdata_1136.50s_0327_183428_2ml,165,825.0,2,2,True,0.000625566637609154,0.9948533177375793,0.004521100781857967,0.9948533177375793,2
MMdata_1136.50s_0327_183428_2ml,166,830.0,2,2,True,0.0005983092705719173,0.9960454106330872,0.003356261644512415,0.9960454106330872,2
MMdata_1136.50s_0327_183428_2ml,167,835.0,2,2,True,0.0008153585367836058,0.9755648374557495,0.02361978404223919,0.9755648374557495,2
MMdata_1136.50s_0327_183428_2ml,168,840.0,2,2,True,0.000805006711743772,0.9959119558334351,0.003283057129010558,0.9959119558334351,2
MMdata_1136.50s_0327_183428_2ml,169,845.0,2,2,True,0.0006483749020844698,0.9906849265098572,0.008666635490953922,0.9906849265098572,2
MMdata_1136.50s_0327_183428_2ml,170,850.0,2,2,True,0.0005835683550685644,0.9946211576461792,0.004795201122760773,0.9946211576461792,2
MMdata_1136.50s_0327_183428_2ml,171,855.0,2,2,True,0.0007280951831489801,0.9887101054191589,0.010561821050941944,0.9887101054191589,2
MMdata_1136.50s_0327_183428_2ml,172,860.0,2,2,True,0.0021314704790711403,0.9952303171157837,0.0026382647920399904,0.9952303171157837,2
MMdata_1136.50s_0327_183428_2ml,173,865.0,2,2,True,0.0006518503651022911,0.9940503239631653,0.005297800526022911,0.9940503239631653,2
MMdata_1136.50s_0327_183428_2ml,174,870.0,2,2,True,0.0005926898447796702,0.9943997263908386,0.005007599946111441,0.9943997263908386,2
MMdata_1136.50s_0327_183428_2ml,175,875.0,2,2,True,0.0006783292628824711,0.9928083419799805,0.006513355765491724,0.9928083419799805,2
MMdata_1136.50s_0327_183428_2ml,176,880.0,2,2,True,0.001268266118131578,0.9964732527732849,0.0022584591060876846,0.9964732527732849,2
MMdata_1136.50s_0327_183428_2ml,177,885.0,2,2,True,0.0006453601527027786,0.9937067627906799,0.005647861864417791,0.9937067627906799,2
MMdata_1136.50s_0327_183428_2ml,178,890.0,2,2,True,0.0005847822758369148,0.9956750273704529,0.0037401854060590267,0.9956750273704529,2
MMdata_1136.50s_0327_183428_2ml,179,895.0,2,2,True,0.0007151105091907084,0.985776960849762,0.0135080236941576,0.985776960849762,2
MMdata_1136.50s_0327_183428_2ml,180,900.0,2,2,True,0.0015163611387833953,0.9960935711860657,0.002390050096437335,0.9960935711860657,2
MMdata_1136.50s_0327_183428_2ml,181,905.0,2,2,True,0.0006270653684623539,0.9935013651847839,0.005871493369340897,0.9935013651847839,2
MMdata_1136.50s_0327_183428_2ml,182,910.0,2,2,True,0.0006119463359937072,0.9933812618255615,0.0060068052262067795,0.9933812618255615,2
MMdata_1136.50s_0327_183428_2ml,183,915.0,2,2,True,0.0006807464524172246,0.9908937215805054,0.008425568230450153,0.9908937215805054,2
